item	voicing	template	alt1	alt2	alt1voicing	alt2voicing
kupi	TT	CVCV	kubi	gupi	TD	DT
kuspa	TT	CVNCV	kuzba	guspa	TD	DT
kuspi	TT	CVNCV	kuzbi	guspi	TD	DT
kanti	TT	CVNCV	kandi	ganti	TD	DT
kantu	TT	CVNCV	kandu	gantu	TD	DT
kasti	TT	CVNCV	kazdi	gasti	TD	DT
kastu	TT	CVNCV	kazdu	gastu	TD	DT
kati	TT	CVCV	kadi	gati	TD	DT
katu	TT	CVCV	kadu	gatu	TD	DT
kintu	TT	CVNCV	kindu	gintu	TD	DT
kistu	TT	CVNCV	kizdu	gistu	TD	DT
kitu	TT	CVCV	kidu	gitu	TD	DT
kunta	TT	CVNCV	kunda	gunta	TD	DT
kunti	TT	CVNCV	kundi	gunti	TD	DT
kusta	TT	CVNCV	kuzda	gusta	TD	DT
kusti	TT	CVNCV	kuzdi	gusti	TD	DT
kuta	TT	CVCV	kuda	guta	TD	DT
kuti	TT	CVCV	kudi	guti	TD	DT
paki	TT	CVCV	pagi	baki	TD	DT
paku	TT	CVCV	pagu	baku	TD	DT
panki	TT	CVNCV	pangi	banki	TD	DT
panku	TT	CVNCV	pangu	banku	TD	DT
paski	TT	CVNCV	pazgi	baski	TD	DT
pasku	TT	CVNCV	pazgu	basku	TD	DT
piku	TT	CVCV	pigu	biku	TD	DT
pinku	TT	CVNCV	pingu	binku	TD	DT
pisku	TT	CVNCV	pizgu	bisku	TD	DT
puka	TT	CVCV	puga	buka	TD	DT
puki	TT	CVCV	pugi	buki	TD	DT
punka	TT	CVNCV	punga	bunka	TD	DT
punki	TT	CVNCV	pungi	bunki	TD	DT
puska	TT	CVNCV	puzga	buska	TD	DT
puski	TT	CVNCV	puzgi	buski	TD	DT
panti	TT	CVNCV	pandi	banti	TD	DT
pantu	TT	CVNCV	pandu	bantu	TD	DT
pasti	TT	CVNCV	pazdi	basti	TD	DT
pastu	TT	CVNCV	pazdu	bastu	TD	DT
pati	TT	CVCV	padi	bati	TD	DT
patu	TT	CVCV	padu	batu	TD	DT
